0,1,2,3,4
BS-2019-0228,어선 제2성창호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0229,어선 로시난테호 침수사건,침수,3~5톤미만,어선
BS-2019-0230,기타선 코리아108호 좌초사건,좌초,10~15톤미만,기타선
BS-2019-0231,카페리선 경진호 침수사건,침수,25~30톤미만,화물선
BS-2019-0232,어선 제8창승호 전복사건,전복,5~10톤미만,어선
BS-2019-0233,모터보트 찬우호 운항저해사건,운항저해,1톤미만,수상레저기구
BS-2019-0234,어선 행운호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0235,낚시어선 아쿠아호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0236,세일링요트 필윈드 기관손상사건,기관손상,2~3톤미만,수상레저기구
BS-2019-0241,양식장관리선 경성호 전복사건,전복,10~15톤미만,어선
BS-2019-0242,예인선 부원호 · 어선 영일호 충돌사건,충돌,25~30톤미만,예인선
BS-2019-0242,예인선 부원호 · 어선 영일호 충돌사건,충돌,3~5톤미만,어선
BS-2019-0243,원양어선 유고 보스토크 화재사건,화재,"1,000~5,000톤미만",어선
BS-2019-0244,석유제품운반선 동명호 선원부상사건,안전사고,"500~1,000톤미만",유조선
BS-2019-0245,어선 보성호 · 어선 태양호 충돌사건,충돌,2~3톤미만,어선
BS-2019-0245,어선 보성호 · 어선 태양호 충돌사건,충돌,1~2톤미만,어선
BS-2019-0246,어선 삼지1호 좌초사건,좌초,2~3톤미만,어선
BS-2019-0247,어선 재성호 부유물감김사건,부유물감김,1~2톤미만,어선
BS-2019-0248,어선 미래호 추진축계손상사건,추진축계손상,2~3톤미만,어선
BS-2019-0249,일반화물선 일신폴라리스로얄호 · 액화천연가스운반선 바산트 충돌사건,충돌,"100,000톤이상",유조선
BS-2019-0249,일반화물선 일신폴라리스로얄호 · 액화천연가스운반선 바산트 충돌사건,충돌,"10,000~20,000톤미만",화물선
BS-2019-0250,어선 대선호 좌초사건,좌초,1~2톤미만,어선
BS-2019-0251,어선 대성2호 기관손상사건,기관손상,15~20톤미만,어선
BS-2019-0252,어선 어선호 부유물감김사건,부유물감김,20~25톤미만,어선
BS-2019-0253,예인선 경남호 기관손상사건,기관손상,30~50톤미만,예인선
BS-2019-0254,어선 왕용호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0255,어선 신양호 운항저해사건,운항저해,2~3톤미만,어선
BS-2019-0256,어선 행복호 조타장치손상사건,조타장치손상,3~5톤미만,어선
BS-2019-0257,석유제품운반선 한유코리아호 · 일반부선 현대비1012호 충돌사건,충돌,"1,000~5,000톤미만",유조선
BS-2019-0257,석유제품운반선 한유코리아호 · 일반부선 현대비1012호 충돌사건,충돌,"20,000~50,000톤미만",기타선
BS-2019-0258,어선 장원호 운항저해사건,운항저해,2~3톤미만,어선
BS-2019-0259,모터보트 토리고야1호 운항저해사건,운항저해,5~10톤미만,수상레저기구
BS-2019-0260,어선 매일2호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0261,기타선 전승호 화재사건,화재,5~10톤미만,기타선
BS-2019-0262,모터보트 태광호 기관손상사건,기관손상,1톤미만,수상레저기구
BS-2019-0263,어선 제207만어호 부유물감김사건,부유물감김,50~100톤미만,어선
BS-2019-0264,기타선 안승호 기관손상사건,기관손상,2~3톤미만,기타선
BS-2019-0266,어선 중앙호 기관손상사건,기관손상,1~2톤미만,어선
BS-2019-0267,어선 창연호 기관손상사건,기관손상,1~2톤미만,어선
BS-2019-0268,모터보트 프린센스호 운항저해사건,운항저해,5~10톤미만,수상레저기구
BS-2019-0269,어선 서영호 기관손상사건,기관손상,1~2톤미만,어선
BS-2019-0270,모터보트 써니호 운항저해사건,운항저해,2~3톤미만,수상레저기구
BS-2019-0271,어선 기룡호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0272,낚시어선 해신호 추진축계손상사건,추진축계손상,3~5톤미만,어선
BS-2019-0273,모터보트 허니써클호 기관손상사건,기관손상,2~3톤미만,수상레저기구
BS-2019-0274,양식장관리선 시온호 좌초사건,좌초,3~5톤미만,어선
BS-2019-0276,낚시어선 다온호 좌초사건,좌초,3~5톤미만,어선
BS-2019-0277,세일링요트 엠1호 부유물감김사건,부유물감김,5~10톤미만,수상레저기구
